Unit 1 3,unit-1-3
I`m fine,Добре съм
Look,Виж,Вижте
look,гледам,поглеждам
neighbour,съсед
neighbours,съседи
at,при,на,в
for,за
two,две
week,седмица
first name,собствено име,малко име
end,и
this,тази,този,това
wife,съпруга
too,също
I`d like to introduce you to,Бих искал да ти представя
I`d like to,Бих искал
introduce,представям,запознавам,въвеждам
but,но
she,тя
isn`t,не е
here,тук
at the moment,в момента
moment,момент
in town,в града
with,с
child,дете
children,деца
they`re,те са
at the supermarket,в супермаркета
supermarket,супермаркет
What a pity,Колко жалко
"Till later, then",До скоро тогава
May I,Мога ли
husband,съпруг
It`s my pleasure,За мен е удоволствие
pleasure,удоволствие
these,тези
our,наш
daughter,дъщеря
her,нейн
kid brother,по-малък брат
brother,брат
son,син
he,той
very,много
funny,забаваен
Dad,тате,татко
"Well, come on","Е, хайде"
you two,вие двамата
Say hello to,поздрави на,кажи здравей на
say,казвам
their,техен
caravan,каравана
next door,съседеню
on holiday,в отпуска
aren`t we,нали
dog,куче
"We must be off, I`m afraid",За съжаление трябва да тръгваме
It was nice talking to you,Приятно ми беше да се запознаем,Радвам се че си поговорихме
talk,говоря
See you later,До по-късно,До скоро
see,виждам
Have a nice day,Приятен ден
have,имам
day,ден